0,1,2,3,4,5
No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Jeff Bezos,$131 billion,55,United States,Amazon
2,Bill Gates,$96.5 billion,63,United States,Microsoft
3,Warren Buffett,$82.5 billion,88,United States,Berkshire Hathaway
4,Bernard Arnault,$76 billion,70,France,LVMH
5,Carlos Slim,$64 billion,79,Mexico,"América Móvil, Grupo Carso"
6,Amancio Ortega,$62.7 billion,82,Spain,"Inditex, Zara"
7,Larry Ellison,$62.5 billion,74,United States,Oracle Corporation
8,Mark Zuckerberg,$62.3 billion,34,United States,"Facebook, Inc."
9,Michael Bloomberg,$55.5 billion,77,United States,Bloomberg L.P.
10,Larry Page,$50.8 billion,45,United States,Alphabet Inc.
